,index,amount,unit,reference product,name,location,database,"IPCC 2021 | climate change: total (excl. biogenic CO2, incl. SLCFs) | global warming potential (GWP100)","IPCC 2021 (incl. biogenic CO2) | climate change: total (incl. biogenic CO2, incl. SLCFs) | global warming potential (GWP100)",Ecological Scarcity 2021 | total | UBP,EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh)
0,"waste polylactic acid | treatment of waste polylactic acid, open dump, very wet infiltration class (1000mm) | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polylactic acid,"treatment of waste polylactic acid, open dump, very wet infiltration class (1000mm)",GLO,Plastics_EoL,-0.09613673704182268,1.7371632574268663,-8765.981554080377,-0.18455493901590833,-2.43301557724444e-13,-1.8649671212226695e-10
1,"waste polyethylene terephthalate | treatment of waste polyethylene terephthalate, open dump, very wet infiltration class (1000mm) | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polyethylene terephthalate,"treatment of waste polyethylene terephthalate, open dump, very wet infiltration class (1000mm)",GLO,Plastics_EoL,-0.09613673704182268,-0.09613673704182268,-8765.981554080377,-0.18455493901590833,-2.43301557724444e-13,-1.8649671212226695e-10
2,"waste polyethylene terephthalate | treatment of waste polyethylene terephthalate, municipal incineration FAE | CH | kilogram | Plastics_EoL",1.0,kilogram,waste polyethylene terephthalate,"treatment of waste polyethylene terephthalate, municipal incineration FAE",CH,Plastics_EoL,-2.0614527224887746,-2.061578806703893,-2124.215774535801,-0.8298043707329034,-4.439083129958759e-11,-3.7211535412014577e-09
3,"waste polylactic acid | treatment of waste polylactic acid, municipal incineration FAE | CH | kilogram | Plastics_EoL",1.0,kilogram,waste polylactic acid,"treatment of waste polylactic acid, municipal incineration FAE",CH,Plastics_EoL,-2.0614527224887746,-0.2285788620170035,-2124.215774535801,-0.8298043707329034,-4.439083129958759e-11,-3.7211535412014577e-09
4,"polyethylene terephthalate, granulate, amorphous | polyethylene terephthalate, granulate, amorphous, recycled to generic market for PET, granulate, amorphous | RoW | kilogram | Plastics_EoL",1.0,kilogram,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate, granulate, amorphous, recycled to generic market for PET, granulate, amorphous",RoW,Plastics_EoL,1.4579757827393345,1.5386494208234036,3924.8274341957745,8.073232428941381,1.3287068333189392e-09,1.6465522692468337e-08
5,"waste polyethylene terephthalate | treatment of waste polyethylene terephthalate, unsanitary landfill, very wet infiltration class (1000mm) | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polyethylene terephthalate,"treatment of waste polyethylene terephthalate, unsanitary landfill, very wet infiltration class (1000mm)",GLO,Plastics_EoL,-0.13297429753681816,-0.13297474887027858,-8804.948997663547,-0.18838221334441582,-7.42777245716518e-13,-2.497790134482498e-10
6,"waste polylactic acid | treatment of waste polylactic acid, unsanitary landfill, very wet infiltration class (1000mm) | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polylactic acid,"treatment of waste polylactic acid, unsanitary landfill, very wet infiltration class (1000mm)",GLO,Plastics_EoL,-10.0563741713657,-9.139704598304174,-18794.949126409574,-0.29485563384643954,-7.42777245716518e-13,-1.6416263021444787e-08
7,"polyethylene terephthalate, granulate, amorphous | polyethylene terephthalate, pellets, recycled to generic market for PET, granulate, amorphous | RER | kilogram | Plastics_EoL",1.0,kilogram,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate, pellets, recycled to generic market for PET, granulate, amorphous",RER,Plastics_EoL,1.8703998644583637,1.8987411209939329,4390.320352521712,7.968207591010404,5.721921621269382e-10,1.8020341574075387e-08
8,"waste polyethylene terephthalate | treatment of waste polyethylene terephthalate, open burning | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polyethylene terephthalate,"treatment of waste polyethylene terephthalate, open burning",GLO,Plastics_EoL,-2.307264834622792,-2.307264834622792,-2884.3406019369672,-7.199478972325951,-1.1398123615184004e-09,-2.6660628461420758e-08
9,"waste polylactic acid | treatment of waste polylactic acid, open burning | GLO | kilogram | Plastics_EoL",1.0,kilogram,waste polylactic acid,"treatment of waste polylactic acid, open burning",GLO,Plastics_EoL,-2.307264834622792,-0.47426488993590254,-2884.3406019369672,-7.199478972325951,-1.1398123615184004e-09,-2.6660628461420758e-08
10,"polyethylene terephthalate, granulate, bottle grade | polyethylene terephthalate, granulate, bottle grade, recycled to generic market for PET, granulate, bottle grade | GLO | kilogram | Plastics_EoL",1.0,kilogram,"polyethylene terephthalate, granulate, bottle grade","polyethylene terephthalate, granulate, bottle grade, recycled to generic market for PET, granulate, bottle grade",GLO,Plastics_EoL,1.030871997550336,1.089292263168958,2904.1468976239207,6.896784255787251,1.0388155106097136e-09,1.2639140973106395e-08
11,"waste polylactic acid | treatment of waste polylactic acid, sanitary landfill | RoW | kilogram | Plastics_EoL",1.0,kilogram,waste polylactic acid,"treatment of waste polylactic acid, sanitary landfill",RoW,Plastics_EoL,-4.70408653211065,-3.778303493278889,-13425.227716079247,-0.2312395837404021,-2.644441293491864e-12,-7.753851753599178e-09
12,"waste polyethylene terephthalate | treatment of waste polyethylene terephthalate, sanitary landfill | RoW | kilogram | Plastics_EoL",1.0,kilogram,waste polyethylene terephthalate,"treatment of waste polyethylene terephthalate, sanitary landfill",RoW,Plastics_EoL,-0.0821065644735903,-0.08212355110493337,-8772.227629533301,-0.18164790922328222,-2.644441293491864e-12,-2.2405690686040728e-10
